Date,Open,High,Low,Close,Adj Close,Volume
2019-08-21,53.247501,53.412498,52.900002,53.160000,51.439953,86141600
2019-08-22,53.297501,53.610001,52.687500,53.115002,51.396408,89014800
2019-08-23,52.357498,53.012501,50.250000,50.660000,49.020836,187272000
2019-08-26,51.465000,51.797501,51.264999,51.622501,49.952202,104174400
2019-08-27,51.965000,52.137501,50.882500,51.040001,49.388554,103493200
2019-08-28,51.025002,51.430000,50.830002,51.382500,49.719967,63755200
2019-08-29,52.125000,52.330002,51.665001,52.252499,50.561813,83962000
2019-08-30,52.540001,52.612499,51.799999,52.185001,50.496506,84573600
2019-09-03,51.607498,51.744999,51.055000,51.424999,49.761093,80092000
2019-09-04,52.097500,52.369999,51.830002,52.297501,50.605366,76752400
2019-09-05,53.000000,53.492500,52.877499,53.320000,51.594772,95654800
2019-09-06,53.512501,53.605000,53.127499,53.314999,51.589939,77449200
2019-09-09,53.709999,54.110001,52.767502,53.542500,51.810078,109237600
2019-09-10,53.465000,54.195000,52.927502,54.174999,52.422115,127111600
2019-09-11,54.517502,55.927502,54.432499,55.897499,54.088882,177158400
2019-09-12,56.200001,56.605000,55.715000,55.772499,53.967918,128906800
2019-09-13,55.000000,55.197498,54.255001,54.687500,52.918022,159053200
2019-09-16,54.432499,55.032501,54.389999,54.974998,53.196228,84632400
2019-09-17,54.990002,55.205002,54.779999,55.174999,53.389759,73274800
2019-09-18,55.264999,55.712502,54.860001,55.692501,53.890522,101360000
2019-09-19,55.502499,55.939999,55.092499,55.240002,53.452656,88242400
2019-09-20,55.345001,55.639999,54.367500,54.432499,52.671280,221652400
2019-09-23,54.737499,54.959999,54.412498,54.680000,52.910774,76662000
2019-09-24,55.257500,55.622501,54.297501,54.419998,52.659195,124763200
2019-09-25,54.637501,55.375000,54.285000,55.257500,53.469593,87613600
2019-09-26,55.000000,55.235001,54.707500,54.972500,53.193813,75334000
2019-09-27,55.134998,55.240002,54.320000,54.705002,52.934971,101408000
2019-09-30,55.224998,56.145000,55.197498,55.992500,54.180801,103909600
2019-10-01,56.267502,57.055000,56.049999,56.147499,54.330788,139223200
2019-10-02,55.764999,55.895000,54.482498,54.740002,52.968838,138449200
2019-10-03,54.607498,55.240002,53.782501,55.205002,53.418789,114426000
2019-10-04,56.410000,56.872501,55.972500,56.752499,54.916210,138478800
2019-10-07,56.567501,57.482498,56.459999,56.764999,54.928314,122306000
2019-10-08,56.455002,57.014999,56.082500,56.099998,54.284828,111820000
2019-10-09,56.757500,56.947498,56.410000,56.757500,54.921059,74770400
2019-10-10,56.982498,57.610001,56.825001,57.522499,55.661301,113013600
2019-10-11,58.237499,59.410000,58.077499,59.052502,57.141800,166795600
2019-10-14,58.724998,59.532501,58.667500,58.967499,57.059551,96427600
2019-10-15,59.097500,59.412498,58.720001,58.830002,56.926498,87360000
2019-10-16,58.342499,58.810001,58.299999,58.592499,56.696682,73903200
2019-10-17,58.772499,59.037498,58.380001,58.820000,56.916832,67585200
2019-10-18,58.647499,59.395000,58.572498,59.102501,57.190166,97433600
2019-10-21,59.380001,60.247501,59.330002,60.127499,58.182011,87247200
2019-10-22,60.290001,60.549999,59.904999,59.990002,58.048969,82293600
2019-10-23,60.525002,60.810001,60.305000,60.794998,58.827911,75828800
2019-10-24,61.127499,61.200001,60.452499,60.895000,58.924683,69275200
2019-10-25,60.790001,61.682499,60.720001,61.645000,59.650414,73477200
